prefecture,municipality,location_key,applicant_count,avg_age,male_count,female_count,avg_qualifications,latitude,longitude
京都府,京都市伏見区,京都府京都市伏見区,1748,48.7408466819222,628,1120,1.715675057208238,34.9327,135.7656
京都府,京都市右京区,京都府京都市右京区,1118,48.772808586762075,388,730,1.661896243291592,35.0152,135.7117
京都府,京都市山科区,京都府京都市山科区,1033,48.156824782187805,352,681,1.702807357212004,34.9777,135.8172
京都府,京都市西京区,京都府京都市西京区,922,47.915401301518436,339,583,1.7288503253796095,34.9843,135.6959
京都府,京都市南区,京都府京都市南区,885,46.88587570621469,317,568,1.8124293785310734,34.9796,135.7478
京都府,宇治市,京都府宇治市,873,48.11683848797251,276,597,1.722794959908362,34.8842,135.7991
京都府,京都市中京区,京都府京都市中京区,818,46.9119804400978,303,515,1.8508557457212713,35.0063,135.7561
京都府,京都市下京区,京都府京都市下京区,804,46.56218905472637,301,503,1.9191542288557213,34.9872,135.7575
京都府,京都市上京区,京都府京都市上京区,612,49.388888888888886,242,370,1.8545751633986929,35.0307,135.7489
京都府,京都市左京区,京都府京都市左京区,610,48.15245901639344,237,373,1.7426229508196722,35.0456,135.783
京都府,京都市北区,京都府京都市北区,595,47.08739495798319,225,370,1.642016806722689,35.0397,135.7556
京都府,,京都府,500,46.102,233,267,2.182,35.02,135.75
京都府,長岡京市,京都府長岡京市,481,49.36174636174636,154,327,1.9563409563409564,34.9268,135.6959
大阪府,枚方市,大阪府枚方市,432,48.719907407407405,175,257,2.3912037037037037,34.8141,135.6513
京都府,木津川市,京都府木津川市,418,49.85167464114833,144,274,1.9808612440191387,34.7367,135.82
京都府,八幡市,京都府八幡市,389,49.35218508997429,149,240,1.93573264781491,34.8733,135.7095
京都府,城陽市,京都府城陽市,379,49.02374670184697,129,250,1.8997361477572559,34.8524,135.7799
京都府,京都市東山区,京都府京都市東山区,358,48.67877094972067,146,212,1.958100558659218,34.9963,135.7774
滋賀県,大津市,滋賀県大津市,343,47.02332361516035,149,194,2.2565597667638486,35.0047,135.8686
奈良県,奈良市,奈良県奈良市,327,50.782874617737,114,213,2.3486238532110093,34.6851,135.805
京都府,向日市,京都府向日市,327,49.018348623853214,114,213,2.015290519877676,34.9479,135.6984
京都府,亀岡市,京都府亀岡市,308,47.02597402597402,105,203,1.4123376623376624,35.0139,135.5739
京都府,京田辺市,京都府京田辺市,302,48.71854304635762,98,204,1.966887417218543,34.814,135.7691
大阪府,高槻市,大阪府高槻市,237,47.41772151898734,117,120,2.388185654008439,34.8466,135.6166
京都府,相楽郡精華町,京都府相楽郡精華町,184,48.619565217391305,60,124,2.108695652173913,34.7605,135.7831
滋賀県,草津市,滋賀県草津市,161,46.98757763975155,70,91,2.372670807453416,35.0171,135.9591
大阪府,,大阪府,160,42.59375,89,71,2.6125,34.69,135.5
大阪府,大阪市北区,大阪府大阪市北区,159,44.704402515723274,85,74,2.7358490566037736,34.7024,135.5023
京都府,福知山市,京都府福知山市,153,43.81699346405229,50,103,1.3594771241830066,35.2971,135.1253
京都府,舞鶴市,京都府舞鶴市,141,42.234042553191486,38,103,1.2836879432624113,35.4745,135.3863
大阪府,茨木市,大阪府茨木市,140,48.90714285714286,70,70,2.55,34.8166,135.5683
京都府,南丹市,京都府南丹市,135,46.614814814814814,49,86,1.5333333333333334,35.1087,135.4687
大阪府,東大阪市,大阪府東大阪市,130,50.5,64,66,2.8,34.6794,135.6006
大阪府,寝屋川市,大阪府寝屋川市,129,47.41860465116279,68,61,2.550387596899225,34.7663,135.6276
大阪府,吹田市,大阪府吹田市,115,45.38260869565217,68,47,2.7217391304347824,34.7614,135.5155
大阪府,大阪市中央区,大阪府大阪市中央区,111,43.18018018018018,56,55,2.72972972972973,34.6841,135.5123
大阪府,交野市,大阪府交野市,108,49.574074074074076,44,64,2.6574074074074074,34.7875,135.6801
大阪府,豊中市,大阪府豊中市,105,44.98095238095238,56,49,2.6,34.7814,135.4693
大阪府,大阪市東淀川区,大阪府大阪市東淀川区,101,48.227722772277225,56,45,2.9405940594059405,34.7291,135.529
京都府,久世郡久御山町,京都府久世郡久御山町,101,48.148514851485146,34,67,2.0396039603960396,34.8889,135.75
大阪府,大阪市淀川区,大阪府大阪市淀川区,96,46.552083333333336,61,35,3.0833333333333335,34.7137,135.4808
奈良県,生駒市,奈良県生駒市,93,51.03225806451613,32,61,2.4946236559139785,34.6915,135.7004
大阪府,守口市,大阪府守口市,90,49.44444444444444,54,36,2.588888888888889,34.7383,135.562
京都府,乙訓郡大山崎町,京都府乙訓郡大山崎町,85,49.6,22,63,1.8705882352941177,34.8965,135.6846
大阪府,大阪市生野区,大阪府大阪市生野区,80,47.45,48,32,2.85,34.6619,135.5262
大阪府,大阪市平野区,大阪府大阪市平野区,79,47.53164556962025,42,37,2.607594936708861,34.6197,135.5543
大阪府,大阪市都島区,大阪府大阪市都島区,78,44.64102564102564,42,36,2.8076923076923075,34.7036,135.5311
大阪府,大阪市城東区,大阪府大阪市城東区,77,45.63636363636363,45,32,2.6493506493506493,34.6961,135.5451
滋賀県,守山市,滋賀県守山市,77,46.701298701298704,35,42,2.6493506493506493,35.0586,135.9935
大阪府,大阪市西成区,大阪府大阪市西成区,75,47.29333333333334,43,32,2.9066666666666667,34.69,135.5
滋賀県,栗東市,滋賀県栗東市,75,46.54666666666667,31,44,2.533333333333333,35.0,135.87
大阪府,大阪市浪速区,大阪府大阪市浪速区,75,48.0,40,35,2.9066666666666667,34.69,135.5
奈良県,大和郡山市,奈良県大和郡山市,75,52.88,31,44,2.5866666666666664,34.69,135.83
兵庫県,尼崎市,兵庫県尼崎市,66,46.09090909090909,43,23,2.4696969696969697,34.69,135.18
大阪府,門真市,大阪府門真市,66,49.31818181818182,35,31,2.5757575757575757,34.69,135.5
大阪府,大阪市西区,大阪府大阪市西区,62,44.46774193548387,33,29,2.806451612903226,34.69,135.5
大阪府,大阪市住吉区,大阪府大阪市住吉区,59,47.101694915254235,30,29,2.9322033898305087,34.69,135.5
大阪府,八尾市,大阪府八尾市,59,47.101694915254235,28,31,2.593220338983051,34.69,135.5
京都府,京丹後市,京都府京丹後市,58,47.3448275862069,14,44,0.896551724137931,35.02,135.75
大阪府,大阪市天王寺区,大阪府大阪市天王寺区,58,46.827586206896555,26,32,2.8620689655172415,34.69,135.5
大阪府,大東市,大阪府大東市,57,50.228070175438596,31,26,2.982456140350877,34.69,135.5
大阪府,大阪市西淀川区,大阪府大阪市西淀川区,57,43.80701754385965,31,26,2.7017543859649122,34.69,135.5
兵庫県,西宮市,兵庫県西宮市,56,44.875,31,25,2.982142857142857,34.69,135.18
大阪府,大阪市旭区,大阪府大阪市旭区,56,45.892857142857146,37,19,2.892857142857143,34.69,135.5
滋賀県,,滋賀県,56,44.42857142857143,30,26,2.75,35.0,135.87
大阪府,大阪市東成区,大阪府大阪市東成区,55,47.472727272727276,29,26,2.6545454545454548,34.69,135.5
大阪府,大阪市鶴見区,大阪府大阪市鶴見区,54,48.22222222222222,32,22,2.759259259259259,34.69,135.5
大阪府,箕面市,大阪府箕面市,53,47.924528301886795,29,24,2.7169811320754715,34.69,135.5
大阪府,大阪市東住吉区,大阪府大阪市東住吉区,53,46.79245283018868,24,29,2.4716981132075473,34.69,135.5
大阪府,大阪市阿倍野区,大阪府大阪市阿倍野区,53,47.113207547169814,27,26,2.830188679245283,34.69,135.5
兵庫県,,兵庫県,52,43.28846153846154,36,16,2.9038461538461537,34.69,135.18
大阪府,摂津市,大阪府摂津市,52,44.75,36,16,2.6923076923076925,34.69,135.5
大阪府,三島郡島本町,大阪府三島郡島本町,51,51.11764705882353,21,30,2.4705882352941178,34.69,135.5
大阪府,大阪市福島区,大阪府大阪市福島区,49,46.0,21,28,2.7346938775510203,34.69,135.5
奈良県,,奈良県,46,47.21739130434783,24,22,2.3043478260869565,34.69,135.83
京都府,綾部市,京都府綾部市,44,44.43181818181818,19,25,1.75,35.02,135.75
大阪府,大阪市住之江区,大阪府大阪市住之江区,42,46.095238095238095,22,20,2.5952380952380953,34.69,135.5
滋賀県,野洲市,滋賀県野洲市,41,44.41463414634146,17,24,2.6097560975609757,35.0,135.87
奈良県,天理市,奈良県天理市,38,51.86842105263158,14,24,2.6578947368421053,34.69,135.83
京都府,与謝郡与謝野町,京都府与謝郡与謝野町,38,46.73684210526316,13,25,1.263157894736842,35.02,135.75
奈良県,橿原市,奈良県橿原市,38,49.63157894736842,15,23,2.763157894736842,34.69,135.83
大阪府,堺市北区,大阪府堺市北区,37,47.45945945945946,20,17,2.5405405405405403,34.69,135.5
京都府,綴喜郡宇治田原町,京都府綴喜郡宇治田原町,35,43.97142857142857,16,19,1.8285714285714285,35.02,135.75
兵庫県,宝塚市,兵庫県宝塚市,35,45.542857142857144,18,17,2.2285714285714286,34.69,135.18
京都府,綴喜郡井手町,京都府綴喜郡井手町,34,52.26470588235294,10,24,2.0294117647058822,35.02,135.75
滋賀県,彦根市,滋賀県彦根市,33,44.36363636363637,15,18,1.9393939393939394,35.0,135.87
京都府,宮津市,京都府宮津市,33,49.09090909090909,13,20,1.5757575757575757,35.02,135.75
大阪府,池田市,大阪府池田市,33,49.90909090909091,20,13,3.1515151515151514,34.69,135.5
大阪府,大阪市此花区,大阪府大阪市此花区,32,48.625,17,15,3.0,34.69,135.5
大阪府,大阪市港区,大阪府大阪市港区,32,50.5625,17,15,3.03125,34.69,135.5
大阪府,堺市堺区,大阪府堺市堺区,31,51.38709677419355,17,14,3.0,34.69,135.5
兵庫県,神戸市中央区,兵庫県神戸市中央区,30,43.5,16,14,2.5,34.69,135.18
東京都,渋谷区,東京都渋谷区,30,45.96666666666667,19,11,2.966666666666667,35.69,139.69
兵庫県,神戸市灘区,兵庫県神戸市灘区,30,46.666666666666664,15,15,2.3333333333333335,34.69,135.18
兵庫県,伊丹市,兵庫県伊丹市,30,48.0,19,11,2.966666666666667,34.69,135.18
大阪府,四條畷市,大阪府四條畷市,29,53.58620689655172,12,17,2.896551724137931,34.69,135.5
大阪府,堺市中区,大阪府堺市中区,29,45.44827586206897,15,14,2.5172413793103448,34.69,135.5
大阪府,大阪市大正区,大阪府大阪市大正区,28,48.92857142857143,15,13,2.357142857142857,34.69,135.5
京都府,船井郡京丹波町,京都府船井郡京丹波町,26,47.53846153846154,9,17,1.1923076923076923,35.02,135.75
東京都,大田区,東京都大田区,26,49.0,11,15,2.6923076923076925,35.69,139.69
東京都,世田谷区,東京都世田谷区,26,44.88461538461539,15,11,3.1538461538461537,35.69,139.69
東京都,,東京都,26,41.15384615384615,16,10,2.3846153846153846,35.69,139.69
兵庫県,神戸市北区,兵庫県神戸市北区,25,44.92,17,8,2.6,34.69,135.18
兵庫県,芦屋市,兵庫県芦屋市,25,44.92,14,11,2.68,34.69,135.18
兵庫県,川西市,兵庫県川西市,25,50.68,15,10,2.6,34.69,135.18
兵庫県,神戸市東灘区,兵庫県神戸市東灘区,25,44.64,16,9,3.12,34.69,135.18
大阪府,堺市南区,大阪府堺市南区,24,44.0,9,15,2.3333333333333335,34.69,135.5
東京都,練馬区,東京都練馬区,24,46.375,11,13,2.5833333333333335,35.69,139.69
東京都,杉並区,東京都杉並区,24,43.416666666666664,14,10,3.1666666666666665,35.69,139.69
大阪府,羽曳野市,大阪府羽曳野市,24,46.375,12,12,2.9166666666666665,34.69,135.5
東京都,港区,東京都港区,24,44.041666666666664,12,12,3.0833333333333335,35.69,139.69
東京都,文京区,東京都文京区,23,49.130434782608695,12,11,2.782608695652174,35.69,139.69
大阪府,堺市西区,大阪府堺市西区,23,44.73913043478261,13,10,2.217391304347826,34.69,135.5
滋賀県,湖南市,滋賀県湖南市,22,48.59090909090909,8,14,2.409090909090909,35.0,135.87
福井県,大飯郡高浜町,福井県大飯郡高浜町,22,40.36363636363637,5,17,2.409090909090909,36.07,136.22
神奈川県,横浜市港北区,神奈川県横浜市港北区,22,44.45454545454545,11,11,3.0454545454545454,35.45,139.64
大阪府,和泉市,大阪府和泉市,22,45.5,12,10,2.8181818181818183,34.69,135.5
神奈川県,横浜市青葉区,神奈川県横浜市青葉区,22,43.90909090909091,12,10,2.4545454545454546,35.45,139.64
東京都,新宿区,東京都新宿区,22,47.18181818181818,13,9,2.9545454545454546,35.69,139.69
大阪府,藤井寺市,大阪府藤井寺市,22,50.04545454545455,7,15,2.8636363636363638,34.69,135.5
東京都,板橋区,東京都板橋区,22,45.81818181818182,14,8,3.1818181818181817,35.69,139.69
東京都,品川区,東京都品川区,21,42.80952380952381,10,11,2.7142857142857144,35.69,139.69
奈良県,磯城郡田原本町,奈良県磯城郡田原本町,21,48.714285714285715,9,12,3.0,34.69,135.83
大阪府,岸和田市,大阪府岸和田市,21,49.285714285714285,11,10,3.0476190476190474,34.69,135.5
大阪府,松原市,大阪府松原市,21,50.0,12,9,3.238095238095238,34.69,135.5
神奈川県,,神奈川県,20,41.5,14,6,2.6,35.45,139.64
神奈川県,横浜市南区,神奈川県横浜市南区,20,45.7,11,9,3.3,35.45,139.64
奈良県,生駒郡三郷町,奈良県生駒郡三郷町,20,54.95,11,9,2.85,34.69,135.83
滋賀県,甲賀市,滋賀県甲賀市,20,49.0,9,11,1.8,35.0,135.87
千葉県,船橋市,千葉県船橋市,20,47.8,13,7,3.9,35.61,140.11
滋賀県,近江八幡市,滋賀県近江八幡市,19,46.78947368421053,11,8,2.736842105263158,35.0,135.87
奈良県,北葛城郡王寺町,奈良県北葛城郡王寺町,19,49.21052631578947,10,9,2.789473684210526,34.69,135.83
神奈川県,横浜市緑区,神奈川県横浜市緑区,19,42.473684210526315,10,9,2.9473684210526314,35.45,139.64
兵庫県,丹波市,兵庫県丹波市,19,41.10526315789474,5,14,2.4210526315789473,34.69,135.18
埼玉県,川口市,埼玉県川口市,19,38.8421052631579,14,5,3.1052631578947367,35.86,139.65
愛知県,,愛知県,19,38.26315789473684,13,6,3.0526315789473686,35.18,136.91
千葉県,柏市,千葉県柏市,18,49.22222222222222,8,10,2.7777777777777777,35.61,140.11
奈良県,香芝市,奈良県香芝市,18,47.611111111111114,10,8,3.1666666666666665,34.69,135.83
東京都,足立区,東京都足立区,18,48.888888888888886,9,9,2.9444444444444446,35.69,139.69
東京都,町田市,東京都町田市,18,45.72222222222222,10,8,2.388888888888889,35.69,139.69
神奈川県,川崎市川崎区,神奈川県川崎市川崎区,18,46.05555555555556,12,6,3.2222222222222223,35.45,139.64
東京都,目黒区,東京都目黒区,18,41.22222222222222,9,9,2.6666666666666665,35.69,139.69
神奈川県,藤沢市,神奈川県藤沢市,18,43.111111111111114,10,8,3.0555555555555554,35.45,139.64
大阪府,富田林市,大阪府富田林市,17,47.88235294117647,9,8,3.1176470588235294,34.69,135.5
奈良県,生駒郡平群町,奈良県生駒郡平群町,17,54.11764705882353,8,9,2.9411764705882355,34.69,135.83
兵庫県,明石市,兵庫県明石市,17,50.05882352941177,10,7,2.4705882352941178,34.69,135.18
兵庫県,神戸市西区,兵庫県神戸市西区,17,48.88235294117647,9,8,3.176470588235294,34.69,135.18
東京都,千代田区,東京都千代田区,17,41.11764705882353,12,5,3.176470588235294,35.69,139.69
兵庫県,姫路市,兵庫県姫路市,17,42.94117647058823,7,10,3.0588235294117645,34.69,135.18
神奈川県,横浜市中区,神奈川県横浜市中区,17,42.8235294117647,7,10,3.1176470588235294,35.45,139.64
滋賀県,長浜市,滋賀県長浜市,17,44.0,9,8,1.5294117647058822,35.0,135.87
東京都,江戸川区,東京都江戸川区,17,44.76470588235294,11,6,3.411764705882353,35.69,139.69
奈良県,生駒郡斑鳩町,奈良県生駒郡斑鳩町,17,56.411764705882355,7,10,2.8823529411764706,34.69,135.83
神奈川県,鎌倉市,神奈川県鎌倉市,17,43.05882352941177,9,8,2.8823529411764706,35.45,139.64
東京都,江東区,東京都江東区,17,44.94117647058823,9,8,2.764705882352941,35.69,139.69
兵庫県,丹波篠山市,兵庫県丹波篠山市,16,43.625,9,7,2.25,34.69,135.18
千葉県,市川市,千葉県市川市,16,48.5625,9,7,3.375,35.61,140.11
兵庫県,神戸市垂水区,兵庫県神戸市垂水区,16,46.1875,9,7,2.5,34.69,135.18
愛知県,名古屋市中村区,愛知県名古屋市中村区,16,43.625,10,6,2.8125,35.18,136.91
神奈川県,川崎市宮前区,神奈川県川崎市宮前区,16,48.0,8,8,2.875,35.45,139.64
滋賀県,東近江市,滋賀県東近江市,16,40.25,7,9,1.4375,35.0,135.87
大阪府,堺市東区,大阪府堺市東区,16,43.1875,6,10,2.5625,34.69,135.5
岐阜県,岐阜市,岐阜県岐阜市,15,50.333333333333336,10,5,3.0,35.39,136.72
神奈川県,横浜市戸塚区,神奈川県横浜市戸塚区,15,50.53333333333333,7,8,3.066666666666667,35.45,139.64
愛知県,名古屋市緑区,愛知県名古屋市緑区,15,43.266666666666666,8,7,2.933333333333333,35.18,136.91
奈良県,大和高田市,奈良県大和高田市,15,47.4,8,7,3.2,34.69,135.83
兵庫県,三田市,兵庫県三田市,15,45.266666666666666,8,7,2.6,34.69,135.18
千葉県,千葉市中央区,千葉県千葉市中央区,15,45.6,10,5,2.8666666666666667,35.61,140.11
愛知県,名古屋市千種区,愛知県名古屋市千種区,15,43.266666666666666,9,6,4.0,35.18,136.91
兵庫県,神戸市兵庫区,兵庫県神戸市兵庫区,15,43.53333333333333,8,7,2.7333333333333334,34.69,135.18
東京都,北区,東京都北区,15,45.86666666666667,10,5,3.1333333333333333,35.69,139.69
神奈川県,横浜市都筑区,神奈川県横浜市都筑区,15,46.266666666666666,10,5,3.6,35.45,139.64
千葉県,松戸市,千葉県松戸市,15,46.4,11,4,3.466666666666667,35.61,140.11
神奈川県,大和市,神奈川県大和市,14,45.57142857142857,8,6,2.9285714285714284,35.45,139.64
東京都,台東区,東京都台東区,14,48.357142857142854,7,7,3.0,35.69,139.69
東京都,中央区,東京都中央区,14,45.142857142857146,8,6,3.357142857142857,35.69,139.69
東京都,八王子市,東京都八王子市,14,43.214285714285715,8,6,2.2857142857142856,35.69,139.69
神奈川県,横浜市鶴見区,神奈川県横浜市鶴見区,14,46.285714285714285,7,7,2.857142857142857,35.45,139.64
東京都,豊島区,東京都豊島区,14,44.57142857142857,6,8,2.642857142857143,35.69,139.69
愛知県,名古屋市天白区,愛知県名古屋市天白区,14,45.07142857142857,8,6,3.0,35.18,136.91
埼玉県,越谷市,埼玉県越谷市,14,42.0,9,5,3.142857142857143,35.86,139.65
東京都,葛飾区,東京都葛飾区,14,46.5,9,5,3.0,35.69,139.69
